order_id,customer,amount
ORD-0268,Customer 268,151.73
ORD-0269,Customer 269,793.61
ORD-0270,Customer 270,229.64
ORD-0271,Customer 271,106.94
ORD-0272,Customer 272,458.92
ORD-0273,Customer 273,189.73
ORD-0274,Customer 274,730.26
ORD-0275,Customer 275,271.18
ORD-0276,Customer 276,128.57
ORD-0277,Customer 277,601.35
ORD-0278,Customer 278,341.98
ORD-0279,Customer 279,163.82
ORD-0280,Customer 280,664.94
ORD-0281,Customer 281,246.77
ORD-0282,Customer 282,112.08
ORD-0283,Customer 283,477.36
ORD-0284,Customer 284,201.28
ORD-0285,Customer 285,775.83
ORD-0286,Customer 286,290.67
ORD-0287,Customer 287,143.44
ORD-0288,Customer 288,537.24
ORD-0289,Customer 289,324.16
ORD-0290,Customer 290,174.62
ORD-0291,Customer 291,707.65
ORD-0292,Customer 292,257.73
ORD-0293,Customer 293,119.55
ORD-0294,Customer 294,465.87
ORD-0295,Customer 295,214.96
ORD-0296,Customer 296,795.34
ORD-0297,Customer 297,300.41
ORD-0298,Customer 298,155.94
ORD-0299,Customer 299,578.13
ORD-0300,Customer 300,332.79
ORD-0301,Customer 301,183.24
ORD-0302,Customer 302,747.56
ORD-0303,Customer 303,268.58
ORD-0304,Customer 304,124.97
ORD-0305,Customer 305,499.74
ORD-0306,Customer 306,221.39
ORD-0307,Customer 307,832.94
ORD-0308,Customer 308,306.17
ORD-0309,Customer 309,147.88
ORD-0310,Customer 310,559.28
ORD-0311,Customer 311,344.35
ORD-0312,Customer 312,191.86
ORD-0313,Customer 313,715.79
ORD-0314,Customer 314,279.93
ORD-0315,Customer 315,133.08
ORD-0316,Customer 316,472.94
ORD-0317,Customer 317,228.46
ORD-0318,Customer 318,803.67
ORD-0319,Customer 319,314.72
ORD-0320,Customer 320,159.75
ORD-0321,Customer 321,587.62
ORD-0322,Customer 322,349.84
ORD-0323,Customer 323,200.31
ORD-0324,Customer 324,756.43
ORD-0325,Customer 325,286.19
ORD-0326,Customer 326,136.95
ORD-0327,Customer 327,512.16
ORD-0328,Customer 328,236.48
ORD-0329,Customer 329,841.57
ORD-0330,Customer 330,320.94
ORD-0331,Customer 331,151.57
ORD-0332,Customer 332,571.19
ORD-0333,Customer 333,357.64
ORD-0334,Customer 334,208.96
ORD-0335,Customer 335,731.88
ORD-0336,Customer 336,294.28
ORD-0337,Customer 337,140.48
ORD-0338,Customer 338,488.36
ORD-0339,Customer 339,243.79
ORD-0340,Customer 340,856.04
ORD-0341,Customer 341,126.93
ORD-0342,Customer 342,262.46
ORD-0343,Customer 343,94.88
ORD-0344,Customer 344,428.65
ORD-0345,Customer 345,179.41
ORD-0346,Customer 346,649.08
ORD-0347,Customer 347,299.76
ORD-0348,Customer 348,152.89
ORD-0349,Customer 349,797.86
ORD-0350,Customer 350,231.16
ORD-0351,Customer 351,108.06
ORD-0352,Customer 352,462.25
ORD-0353,Customer 353,191.18
ORD-0354,Customer 354,733.59
ORD-0355,Customer 355,272.65
ORD-0356,Customer 356,129.68
ORD-0357,Customer 357,604.78
ORD-0358,Customer 358,343.47
ORD-0359,Customer 359,164.97
ORD-0360,Customer 360,668.31
ORD-0361,Customer 361,248.33
ORD-0362,Customer 362,113.27
ORD-0363,Customer 363,480.74
ORD-0364,Customer 364,202.74
ORD-0365,Customer 365,780.21
ORD-0366,Customer 366,292.14
ORD-0367,Customer 367,144.59
ORD-0368,Customer 368,540.68
ORD-0369,Customer 369,325.71
ORD-0370,Customer 370,175.88
ORD-0371,Customer 371,711.02
ORD-0372,Customer 372,259.24
ORD-0373,Customer 373,120.69
ORD-0374,Customer 374,469.16
ORD-0375,Customer 375,216.53
ORD-0376,Customer 376,798.55
ORD-0377,Customer 377,301.96
ORD-0378,Customer 378,157.08
ORD-0379,Customer 379,581.47
ORD-0380,Customer 380,334.28
ORD-0381,Customer 381,184.52
ORD-0382,Customer 382,751.94
ORD-0383,Customer 383,270.06
ORD-0384,Customer 384,126.13
ORD-0385,Customer 385,503.18
ORD-0386,Customer 386,222.87
ORD-0387,Customer 387,836.31
ORD-0388,Customer 388,307.64
ORD-0389,Customer 389,149.03
ORD-0390,Customer 390,562.64
ORD-0391,Customer 391,345.82
ORD-0392,Customer 392,193.04
ORD-0393,Customer 393,719.26
ORD-0394,Customer 394,281.47
ORD-0395,Customer 395,134.23
ORD-0396,Customer 396,476.38
ORD-0397,Customer 397,229.95
ORD-0398,Customer 398,807.89
ORD-0399,Customer 399,316.21
ORD-0400,Customer 400,160.86
ORD-0401,Customer 401,590.83
ORD-0402,Customer 402,351.29
ORD-0403,Customer 403,201.67
ORD-0404,Customer 404,760.81
ORD-0405,Customer 405,287.66
ORD-0406,Customer 406,138.12
ORD-0407,Customer 407,515.59
ORD-0408,Customer 408,237.94
ORD-0409,Customer 409,845.92
ORD-0410,Customer 410,322.43
ORD-0411,Customer 411,152.74
ORD-0412,Customer 412,574.56
ORD-0413,Customer 413,359.08
ORD-0414,Customer 414,210.33
ORD-0415,Customer 415,736.24
ORD-0416,Customer 416,295.76
ORD-0417,Customer 417,141.64
ORD-0418,Customer 418,491.73
ORD-0419,Customer 419,245.18
ORD-0420,Customer 420,860.47
ORD-0421,Customer 421,128.07
ORD-0422,Customer 422,263.95
ORD-0423,Customer 423,96.01
ORD-0424,Customer 424,431.92
ORD-0425,Customer 425,180.86
ORD-0426,Customer 426,652.43
ORD-0427,Customer 427,301.22
ORD-0428,Customer 428,154.06
ORD-0429,Customer 429,802.13
ORD-0430,Customer 430,232.58
ORD-0431,Customer 431,109.18
ORD-0432,Customer 432,465.61
ORD-0433,Customer 433,192.64
ORD-0434,Customer 434,736.88
ORD-0435,Customer 435,274.12
ORD-0436,Customer 436,130.79
ORD-0437,Customer 437,608.14
ORD-0438,Customer 438,344.91
ORD-0439,Customer 439,166.14
ORD-0440,Customer 440,671.78
ORD-0441,Customer 441,249.88
ORD-0442,Customer 442,114.39
ORD-0443,Customer 443,484.11
ORD-0444,Customer 444,204.21
ORD-0445,Customer 445,784.66
ORD-0446,Customer 446,293.63
ORD-0447,Customer 447,145.73
ORD-0448,Customer 448,544.02
ORD-0449,Customer 449,327.16
ORD-0450,Customer 450,177.14
ORD-0451,Customer 451,714.39
ORD-0452,Customer 452,260.81
ORD-0453,Customer 453,121.83
ORD-0454,Customer 454,472.49
ORD-0455,Customer 455,218.07
ORD-0456,Customer 456,802.78
ORD-0457,Customer 457,303.48
ORD-0458,Customer 458,158.24
ORD-0459,Customer 459,584.91
ORD-0460,Customer 460,335.76
ORD-0461,Customer 461,185.68
ORD-0462,Customer 462,756.33
ORD-0463,Customer 463,271.54
ORD-0464,Customer 464,127.31
ORD-0465,Customer 465,506.62
ORD-0466,Customer 466,224.34
ORD-0467,Customer 467,839.74
ORD-0468,Customer 468,309.12
ORD-0469,Customer 469,150.19
ORD-0470,Customer 470,566.07
ORD-0471,Customer 471,347.28
ORD-0472,Customer 472,194.39
ORD-0473,Customer 473,722.61
ORD-0474,Customer 474,282.94
ORD-0475,Customer 475,135.39
ORD-0476,Customer 476,479.84
ORD-0477,Customer 477,231.42
ORD-0478,Customer 478,811.26
ORD-0479,Customer 479,317.69
ORD-0480,Customer 480,161.97
ORD-0481,Customer 481,594.21
ORD-0482,Customer 482,352.74
ORD-0483,Customer 483,203.02
ORD-0484,Customer 484,765.27
ORD-0485,Customer 485,289.13
ORD-0486,Customer 486,139.27
ORD-0487,Customer 487,519.04
ORD-0488,Customer 488,239.41
ORD-0489,Customer 489,850.36
ORD-0490,Customer 490,323.88
ORD-0491,Customer 491,153.86
ORD-0492,Customer 492,577.92
ORD-0493,Customer 493,360.56
ORD-0494,Customer 494,211.79
ORD-0495,Customer 495,740.68
ORD-0496,Customer 496,297.23
ORD-0497,Customer 497,142.81
ORD-0498,Customer 498,495.14
ORD-0499,Customer 499,246.63
ORD-0500,Customer 500,864.82
